
Log Starting [2014/10/08 18:24:55]
2014/10/08 18:24:55 WRN 78a0 BS stdin_monitor_thread.cpp 84 NLNET::CStdinMonitorThread::run : fgets failed
2014/10/08 18:24:55 INF 4298 BS system_info.cpp 891 NLMISC::CSystemInfo::getProcessorFrequency : SI: CSystemInfo: Processor frequency is 3193 MHz
2014/10/08 18:24:55 INF 4298 BS service.cpp 847 NLNET::IService::main : SERVICE: Starting Service 'BS' using NeL (Sep 29 2014 17:35:05) compiled Oct  8 2014 18:24:49
2014/10/08 18:24:55 INF 4298 BS service.cpp 848 NLNET::IService::main : SERVICE: On OS: Microsoft Windows 7 Ultimate Edition 64-bit (Build 7600) (6.1 7600)
2014/10/08 18:24:55 INF 4298 0xcc/BS service.cpp 926 NLNET::IService::main : SERVICE: Host: 0xcc
2014/10/08 18:24:55 INF 4298 0xcc/BS command.cpp 149 NLMISC::CCommandRegistry::registerNamedCommandHandler : CCommandRegistry : adding commands handler for class 'CUnifiedNetwork'
2014/10/08 18:24:55 INF 4298 0xcc/BS-0 bench_service.cpp 645 CBenchService::init : Starting external UDP socket on port 45455
2014/10/08 18:24:55 INF 4298 0xcc/BS-0 bench_service.cpp 659 CBenchService::init : Starting external TCP socket on port 45456
2014/10/08 18:24:55 INF 4298 0xcc/BS-0 service.cpp 1232 NLNET::IService::main : SERVICE: Service initialized, executing StartCommands
2014/10/08 18:24:55 INF 4298 0xcc/BS-0 service.cpp 1278 NLNET::IService::main : SERVICE: Service ready
2014/10/08 18:24:55 DBG 4298 0xcc/BS-0 win_displayer.cpp 350 NLMISC::CWinDisplayer::setTitleBar : SERVICE: Set title bar to 'BS bench_service : Nel Service Console (compiled Sep 29 2014 17:34:57 in NL_DEBUG mode)'
2014/10/08 18:24:55 DBG 2028 0xcc/BS-0 win_displayer.cpp 350 NLMISC::CWinDisplayer::setTitleBar : SERVICE: Set title bar to '*INIT* BS bench_service: Nel Service Console (compiled Sep 29 2014 17:34:57 in NL_DEBUG mode)'
2014/10/08 18:26:43 INF 4298 0xcc/BS-0 bench_service.cpp 205 cbInit : Added client TCP SRV 00000000003C7C80 (socket 556), session 3c7c80
2014/10/08 18:27:56 INF 4298 0xcc/BS-0 bench_service.cpp 546 handleReceivedPong : TCP-UDP linked TCP is SRV 00000000003C7C80 (socket 556), UDP is :55395 (127.0.0.1)
2014/10/08 18:28:23 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 15 NbPong 0 MeanPongTime <Undef> NbDuplicated 0 
2014/10/08 18:28:25 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:28 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:30 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:32 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:34 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:36 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:38 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:28:40 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:42 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:44 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:46 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:48 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:50 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:52 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:54 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:57 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:28:59 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:29:01 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:29:03 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
